AX_BU,Date,DOW,Total_7LB_EQ_Sales,Weighted_Avg_Sales,Avg_Apparent_Temp,Average_Surface_T,Average_Surface_T_SQ,Average_Surface_T_Cubed,Holiday
104,3/22/2022,Tuesday,1474.714285,10.83036758,56.19269496,57.20639338,3272.571443,177435.1194,
104,3/23/2022,Wednesday,1692.857144,12.42727965,58.43502315,58.96866328,3477.303249,199535.2647,
104,3/24/2022,Thursday,2110.857142,15.65208841,66.59954906,66.69819651,4448.649418,295402.2955,
104,3/25/2022,Friday,3034.714285,22.79323837,71.33389942,72.08008433,5195.538557,362984.3452,
104,3/26/2022,Saturday,5989.285712,43.77890349,72.36169969,73.43744578,5393.058443,378901.4595,
104,3/27/2022,Sunday,3222.999999,21.34434089,69.73227414,70.24772824,4934.743323,339079.4629,
104,3/28/2022,Monday,1651.571428,12.01664183,61.89041061,62.02237473,3846.774967,237066.4477,
104,3/29/2022,Tuesday,1571.857142,11.75786589,55.51376173,55.95642333,3131.121312,171081.0752,
104,3/30/2022,Wednesday,1835.571428,13.76201163,62.03926924,62.22694002,3872.192064,238781.1398,
104,3/31/2022,Thursday,2209.999999,17.57379503,62.89821437,62.89955369,3956.353854,248836.9956,
104,4/1/2022,Friday,3021.571427,23.62229846,63.35714352,63.42589375,4022.843998,254323.6607,
104,4/2/2022,Saturday,5148.85714,35.62306743,67.65132769,67.74513386,4589.403162,309619.9761,
104,4/3/2022,Sunday,2998.714285,20.49591725,65.22361125,65.22361125,4254.119464,277469.0341,
104,4/4/2022,Monday,2176.285714,15.90157408,68.81428528,69.13428773,4779.549741,325863.5696,
104,4/5/2022,Tuesday,2293.142857,16.05736058,71.25299392,72.14608255,5205.057227,361750.6765,
104,4/6/2022,Wednesday,2037.857141,14.60258104,63.14744178,63.14744178,3987.599403,251806.7011,
104,4/7/2022,Thursday,2504.857143,18.21369965,64.0925576,64.35116338,4141.072228,263282.9934,
104,4/8/2022,Friday,3592.857144,27.08111058,68.57117314,69.3315318,4806.861302,322422.0529,
104,4/9/2022,Saturday,5990.428571,43.4378914,72.53600104,73.8248879,5450.114073,381646.0984,
104,4/10/2022,Sunday,3326.571428,23.99782588,62.22102739,62.28270987,3879.135949,240885.9854,
104,4/11/2022,Monday,1998.999999,15.28713793,60.5694826,60.77230027,3693.27248,222208.9726,
104,4/12/2022,Tuesday,1475.571428,11.14417861,48.42926779,50.22048829,2522.097444,113585.7131,
104,4/13/2022,Wednesday,1827.714285,13.35074907,50.34511564,51.2246518,2623.964952,127606.2742,
104,4/14/2022,Thursday,2170.142856,16.5653924,58.39530515,58.97605534,3478.175104,199128.6717,
104,4/15/2022,Friday,3111.285713,23.10479788,62.72946385,62.97633907,3966.019282,246839.5391,
104,4/16/2022,Saturday,4265.000001,32.86251409,64.30493294,64.30493294,4135.124401,265908.8973,
104,4/17/2022,Sunday,8383.714289,65.1880396,66.25288903,66.64044478,4440.94888,290813.4327,
104,4/18/2022,Monday,2466.571428,18.09384938,72.14637837,73.36280019,5382.100452,375529.1078,
104,4/19/2022,Tuesday,2248.428571,16.42546826,71.20094253,71.72688779,5144.746432,360958.4624,
104,4/20/2022,Wednesday,2581.428571,18.57258908,66.73738291,66.87663554,4472.484381,297240.18,
104,4/21/2022,Thursday,2345,18.42597268,66.60981109,66.81261601,4463.925658,295538.8682,
104,4/22/2022,Friday,2529.428571,20.01453433,56.04174327,56.55642088,3198.628742,176009.0135,
104,4/23/2022,Saturday,4498.142861,33.05304074,57.14884877,57.49539141,3305.720033,186647.6209,
104,4/24/2022,Sunday,2802.428572,21.09194181,59.18280625,59.66470656,3559.877209,207293.9668,
104,4/25/2022,Monday,2113.428571,15.56477635,62.37381018,62.70666617,3932.125982,242664.8217,
104,4/26/2022,Tuesday,2261.142857,16.1883774,70.46651113,71.45094519,5105.237568,349903.518,
104,4/27/2022,Wednesday,2476,17.62047298,71.17360991,72.05648175,5192.136562,360542.9278,
104,4/28/2022,Thursday,2374.571428,17.82150549,67.99999794,68.33698642,4669.943713,314431.9715,
104,4/29/2022,Friday,3270.142856,24.29947073,65.89683184,65.98280555,4353.730629,286149.9048,
104,4/30/2022,Saturday,5821.857144,43.41402609,69.45796558,70.32168198,4945.138956,335093.6331,
104,5/1/2022,Sunday,3462.714286,24.98379349,68.66188477,69.11121067,4776.359441,323703.3261,
104,5/2/2022,Monday,2556.857141,18.10706146,67.06313405,67.53732595,4561.290397,301614.0276,
104,5/3/2022,Tuesday,2214.142857,16.43399093,66.6216818,66.63628335,4440.394259,295696.9028,
104,5/4/2022,Wednesday,2474.571428,17.76574924,65.17669471,65.29788072,4263.813227,276870.699,
104,5/5/2022,Thursday,3209,23.33373936,72.5314413,73.89214008,5460.048366,381574.1301,
104,5/6/2022,Friday,4449.285717,31.81555472,75.90159263,77.77649473,6049.183132,437273.0042,
104,5/7/2022,Saturday,6823.142862,49.16675136,75.27341204,76.81785574,5900.982961,426505.6683,
104,5/8/2022,Sunday,3659.14286,26.9568127,67.16113504,67.33013223,4533.346706,302938.2287,
104,5/9/2022,Monday,2292.714285,16.40502244,58.05470727,58.42825198,3413.860629,195664.6267,
104,5/10/2022,Tuesday,1956.142858,13.78618627,57.78577657,58.65288896,3440.161384,192958.0325,
104,5/11/2022,Wednesday,1983.428571,13.50919612,54.40273931,55.48995411,3079.135007,161013.5051,
104,5/12/2022,Thursday,2311.714287,15.67562842,58.00519492,59.05800898,3487.848424,195164.4319,
104,5/13/2022,Friday,3720.142862,25.29160893,70.13733984,71.08240293,5052.708006,345022.8593,
104,5/14/2022,Saturday,7485.000006,54.72155551,76.44129332,78.72064796,6196.940415,446667.2173,
104,5/15/2022,Sunday,4675.714292,35.18123934,79.70211701,82.77033874,6850.928975,506301.9165,
104,5/16/2022,Monday,3638.571428,24.40637346,79.01802639,81.68025558,6671.664151,493376.5852,
104,5/17/2022,Tuesday,3792.285713,26.01735193,77.4253184,79.81265655,6370.060145,464140.0022,
104,5/18/2022,Wednesday,3939,27.29681728,78.93109205,81.53739506,6648.346793,491749.9614,
104,5/19/2022,Thursday,5280.57143,38.1473486,80.69262245,84.04630971,7063.782175,525413.8175,
104,5/20/2022,Friday,4641.000001,34.21538167,70.56213906,70.58148087,4981.745441,351329.9819,
104,5/21/2022,Saturday,6095.857145,45.34953219,66.03999828,66.2795815,4392.982924,288019.0143,
104,5/22/2022,Sunday,4010.000002,30.27062405,73.73493258,75.04497895,5631.748865,400885.0517,
104,5/23/2022,Monday,3180.714287,22.34924537,72.98190149,74.18823612,5503.894378,388727.7308,
104,5/24/2022,Tuesday,3334,23.04503111,73.71521815,75.41217389,5686.995971,400563.5851,
104,5/25/2022,Wednesday,3974.714284,28.34479394,78.16118232,80.73839659,6518.688684,477499.9832,
104,5/26/2022,Thursday,4273.999999,29.89183594,81.39396595,84.47930961,7136.753752,539233.2088,
104,5/27/2022,Friday,5938.14286,43.9761983,80.16172737,83.16872447,6917.03673,515111.4471,
104,5/28/2022,Saturday,8271.142863,64.93504984,76.23441386,77.70324043,6037.793573,443050.4648,
104,5/29/2022,Sunday,5715.142861,42.92886967,71.55416778,72.64874961,5277.840819,366357.2622,
104,5/30/2022,Monday,4731.714288,36.61240564,66.87542569,67.1122904,4504.059523,299088.4752,
104,5/31/2022,Tuesday,3149.571429,22.26864751,70.13230079,70.92920124,5030.951589,344948.4997,
104,6/1/2022,Wednesday,3589.000002,26.95253701,71.44721068,72.56609511,5265.83816,364716.856,
104,6/2/2022,Thursday,3884.285716,28.55455947,77.98283259,80.66995514,6507.641663,474238.7293,
104,6/3/2022,Friday,5245.000003,36.95758435,78.84100517,81.33682079,6615.678416,490068.1271,
104,6/4/2022,Saturday,7178.714289,55.32459591,78.05182052,79.97327908,6395.725367,475498.4566,
104,6/5/2022,Sunday,4845.714287,36.35026485,79.31176569,81.46092493,6635.882291,498899.2551,
104,6/6/2022,Monday,4399.714285,30.5146478,81.05836978,83.55836788,6982.000843,532590.7205,
104,6/7/2022,Tuesday,4859.42857,34.51386294,83.43869685,86.47000291,7477.061404,580901.5536,
104,6/8/2022,Wednesday,5182.714286,36.49370231,84.3191315,87.80826018,7710.290556,599485.0731,
104,6/9/2022,Thursday,5581.142858,40.252422,85.23836327,88.90474007,7904.052807,619306.0257,
104,6/10/2022,Friday,6736.857141,49.54143073,86.94256084,91.34504186,8343.916672,657199.59,
104,6/11/2022,Saturday,9229.428572,68.32895305,87.22245886,91.96652496,8457.841714,663567.3006,
104,6/12/2022,Sunday,5646.142858,40.83492201,84.55430935,88.47155206,7827.215524,604515.2199,
104,6/13/2022,Monday,4583,32.71620924,80.47542485,82.60296763,6823.250262,521182.5114,
104,6/14/2022,Tuesday,4357.857142,31.1938797,75.32699261,77.09822879,5944.136883,427417.0932,
104,6/15/2022,Wednesday,4587.142856,32.2865261,79.16239627,82.33429891,6778.936778,496085.7999,
104,6/16/2022,Thursday,4969.428571,34.24054065,84.55887462,88.90346094,7903.825368,604613.1424,
104,6/17/2022,Friday,5491.857141,39.15514653,81.11784261,84.13858849,7079.302073,533763.8723,
104,6/18/2022,Saturday,5968.42857,44.18425264,74.2900854,75.92241271,5764.212751,410008.2285,
104,6/19/2022,Sunday,5084.857143,38.4148079,70.65147603,71.93586525,5174.768709,352666.1025,
104,6/20/2022,Monday,4030.571427,29.0480465,73.64549377,75.29141645,5668.797391,399428.0268,
104,6/21/2022,Tuesday,4027.285713,28.44826641,79.43106277,82.38808373,6787.796341,501153.9065,
104,6/22/2022,Wednesday,3567.999999,24.69275,78.6515277,79.97947773,6396.716858,486543.2905,
104,6/23/2022,Thursday,4138.142856,30.13305507,79.18427986,81.10480466,6577.989339,496497.3264,
104,6/24/2022,Friday,5507.142857,39.88242047,81.86083504,84.99166641,7223.58336,548565.5261,
104,6/25/2022,Saturday,7480.714283,55.31253998,84.42685826,88.1442157,7769.402762,601785.7297,
104,6/26/2022,Sunday,5268.571429,39.28047766,85.38818646,89.30717533,7975.771565,622577.4256,
104,6/27/2022,Monday,5108.857141,35.98647559,84.8102052,87.64530552,7681.69958,610020.3766,
104,6/28/2022,Tuesday,5157.999999,36.90026886,87.79102547,91.17179616,8312.296416,676628.6236,
104,6/29/2022,Wednesday,5384.285714,37.929022,87.70555421,91.53675249,8378.977056,674654.2983,
104,6/30/2022,Thursday,5545.285713,39.18114859,85.42127669,89.00042419,7921.075507,623301.503,
